drug_id,drug_name,n_diseases,n_edges,pmid_count_sum,total_articles_sum,total_articles_median
@CHEMICAL_alclometasone_dipropionate,Methylprednisolone,13,13,27,27,2.0
@CHEMICAL_methylprednisolone_suleptanate,Methylprednisolone,13,13,17,17,1.0
@CHEMICAL_aripiprazole_lauroxil,Aripiprazole,12,12,66,66,1.0
@CHEMICAL_solufenum,Ibuprofen,12,12,39,39,1.0
@CHEMICAL_amcinonide,Triamcinolone,11,11,19,19,1.0
@CHEMICAL_norelgestromin,Levonorgestrel,11,11,17,17,1.0
@CHEMICAL_isosorbide_2_mononitrate,Isosorbide,11,11,16,16,1.0
@CHEMICAL_prednisolone_tebutate,Prednisolone,11,11,14,14,1.0
@CHEMICAL_ethinyl_estradiol_levonorgestrel_drug_combination,Ethinyl Estradiol,11,11,12,12,1.0
@CHEMICAL_diclofenac_etalhyaluronate,Diclofenac,10,10,36,36,2.0
@CHEMICAL_clindamycin_phosphate_benzoyl_peroxide_combination,Clindamycin,10,10,22,22,1.5
@CHEMICAL_estradiol_dipropionate,Estradiol,10,10,22,22,1.0
@CHEMICAL_rosiglitazone_metformin_combination,Metformin,10,10,15,15,1.0
@CHEMICAL_acetaminophen_sulfate_ester,Acetaminophen,10,10,14,14,1.0
@CHEMICAL_2_5_dimethylisosorbide,Isosorbide,10,10,11,11,1.0
@CHEMICAL_norethindrone_acetate_ethinyl_estradiol_ferrous_fumarate_drug_combination,Norethindrone,10,10,11,11,1.0
@CHEMICAL_Amlodipine_Valsartan_Drug_Combination,Amlodipine,9,9,41,41,1.0
@CHEMICAL_amitriptyline_N_oxide,Amitriptyline,9,9,19,19,1.0
@CHEMICAL_estradiol_17_beta_benzoate,Estradiol,9,9,9,9,1.0
@CHEMICAL_insulin_degludec_insulin_aspart_drug_combination,Insulin Aspart,8,8,97,97,5.0
@CHEMICAL_estradiol_norethindrone_drug_combination,Norethindrone,8,8,18,18,1.5
@CHEMICAL_ascorbic_acid_magnesium_sulfate_heptahydrate_cyanocobalamin_thiamine_hydrochloride_riboflavin_5'_phosphate_niacinamide_pyridoxine_hydrochloride_and_calcium_D_pantothenate_drug_combination,Cyanocobalamin,8,8,12,12,1.0
@CHEMICAL_prednisolone_21_3_sulfobenzoate,Prednisolone,8,8,12,12,1.0
@CHEMICAL_gabapentin_lactam,Gabapentin,8,8,11,11,1.0
@CHEMICAL_methylprednisolone_sodium_phosphate,Methylprednisolone,8,8,8,8,1.0
@CHEMICAL_budesonide_glycopyrrolate_formoterol_fumarate_drug_combination,Formoterol,7,7,21,21,1.0
@CHEMICAL_amlodipine_atorvastatin_drug_combination,Atorvastatin,7,7,15,15,1.0
@CHEMICAL_clindamycin_palmitate,Clindamycin,7,7,7,7,1.0
@CHEMICAL_bupropion_hydrochloride_naltrexone_hydrochoride_drug_combination,Bupropion,6,6,24,24,1.0
@CHEMICAL_ibuprofen_dimethyl_aminoethanol_octyl,Ibuprofen,6,6,20,20,2.5
@CHEMICAL_aspirin_butalbital_and_caffeine_drug_combination,Aspirin,6,6,13,13,1.0
@CHEMICAL_omeprazole_sodium_bicarbonate_drug_combination,Omeprazole,6,6,10,10,1.5
@CHEMICAL_spironolactone_althiazide_drug_combination,Spironolactone,6,6,10,10,1.0
@CHEMICAL_allopurinol_riboside,Allopurinol,6,6,8,8,1.0
@CHEMICAL_O_demethyltramadol,Tramadol,6,6,7,7,1.0
@CHEMICAL_methotrexate_polyglutamate,Methotrexate,5,5,21,21,3.0
@CHEMICAL_clindamycin_tretinoin_drug_combination,Clindamycin,5,5,16,16,1.0
@CHEMICAL_oxycodone_naltrexone_combination,Oxycodone,5,5,12,12,2.0
@CHEMICAL_oxycodone_naloxone_combination,Oxycodone,5,5,10,10,1.0
