drug_name,drug_id,disease_name,disease_id,pmid_count,total_articles
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperhomocysteinemia,@DISEASE_Hyperhomocysteinemia,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Necrosis,@DISEASE_Necrosis,20,20
Atorvastatin,@CHEMICAL_Atorvastatin,Arthritis,@DISEASE_Arthritis,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Edema,@DISEASE_Brain_Edema,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinogenesis,@DISEASE_Carcinogenesis,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Colitis,@DISEASE_Colitis,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperalgesia,@DISEASE_Hyperalgesia,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Lymphoma,@DISEASE_Lymphoma,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Nephrotic Syndrome,@DISEASE_Nephrotic_Syndrome,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Neuralgia,@DISEASE_Neuralgia,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Optic Neuropathy Ischemic,@DISEASE_Optic_Neuropathy_Ischemic,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Ureteral Obstruction,@DISEASE_Ureteral_Obstruction,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Atrial Remodeling,@DISEASE_Atrial_Remodeling,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Autoimmune Diseases,@DISEASE_Autoimmune_Diseases,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Congenital Abnormalities,@DISEASE_Congenital_Abnormalities,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Embolic Stroke,@DISEASE_Embolic_Stroke,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Epilepsy,@DISEASE_Epilepsy,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Glomerulonephritis,@DISEASE_Glomerulonephritis,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Hypoglycemia,@DISEASE_Hypoglycemia,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Learning Disabilities,@DISEASE_Learning_Disabilities,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Melanoma,@DISEASE_Melanoma,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Mucocutaneous Lymph Node Syndrome,@DISEASE_Mucocutaneous_Lymph_Node_Syndrome,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Muscle Weakness,@DISEASE_Muscle_Weakness,43,43
Atorvastatin,@CHEMICAL_Atorvastatin,Neurotoxicity Syndromes,@DISEASE_Neurotoxicity_Syndromes,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Ovarian Neoplasms,@DISEASE_Ovarian_Neoplasms,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Peritonitis,@DISEASE_Peritonitis,9,9
Atorvastatin,@CHEMICAL_Atorvastatin,Psoriasis,@DISEASE_Psoriasis,13,13
Atorvastatin,@CHEMICAL_Atorvastatin,Ring Chromosome 20 Syndrome,@DISEASE_Ring_Chromosome_20_Syndrome,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Takotsubo Cardiomyopathy,@DISEASE_Takotsubo_Cardiomyopathy,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Vasospasm Intracranial,@DISEASE_Vasospasm_Intracranial,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Acute Disease,@DISEASE_Acute_Disease,10,10
Atorvastatin,@CHEMICAL_Atorvastatin,Adenocarcinoma,@DISEASE_Adenocarcinoma,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Aneurysm,@DISEASE_Aneurysm,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Aortic Diseases,@DISEASE_Aortic_Diseases,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Aortic Valve Stenosis,@DISEASE_Aortic_Valve_Stenosis,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Arterial Occlusive Diseases,@DISEASE_Arterial_Occlusive_Diseases,8,8
Atorvastatin,@CHEMICAL_Atorvastatin,Arthritis Psoriatic,@DISEASE_Arthritis_Psoriatic,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Damage Chronic,@DISEASE_Brain_Damage_Chronic,7,7
Atorvastatin,@CHEMICAL_Atorvastatin,Cartilage Diseases,@DISEASE_Cartilage_Diseases,7,7
