drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,resolve_status,accept_auto,reject_reason,extra_tokens,total_candidates_available,n_candidates_returned
Atorvastatin,NCT02913664,Risk Reduction for Alzheimer's Disease,COMPLETED,PHASE2; PHASE3,Cognitively Normal Older Adults; Hypertension; Subjective Cognitive Decline; Family History of Alzheimer's Disease,2016-09-14 00:00:00+00:00,48,Hypertension,Hypertension,@DISEASE_Hypertension,exact,True,,0,5,0
Atorvastatin,NCT02107898,Efficacy and Safety Evaluation of Alirocumab in Patients With Heterozygous Familial Hypercholesterolemia or High Cardiovascular Risk Patients With Hypercholesterolemia on Lipid Modifying Therapy (ODYSSEY JAPAN),COMPLETED,PHASE3,Hypercholesterolemia,2014-04-04 00:00:00+00:00,50,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT05372380,A Study to Evaluate Drug-drug Interactions Between BR1017-1 and BR1017-2 in Healthy Volunteers,COMPLETED,PHASE1,Hypertension; Hypercholesterinemia,2022-05-09 00:00:00+00:00,51,Hypertension,Hypertension,@DISEASE_Hypertension,exact,True,,0,5,0
Atorvastatin,NCT07121088,Traditional Chinese Medicine Intervention for Ischemic Cerebrovascular Disease and Diabetes Mellitus: An Efficacy Comparative Study,NOT_YET_RECRUITING,PHASE4,Ischemic Cerebral Infarction; Diabetes Mellitus,2025-07-04 00:00:00+00:00,52,Diabetes Mellitus,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,exact,True,,0,5,0
Atorvastatin,NCT02411903,The Dynamic Effect of Non-cytochrome P450 Isoenzyme 3A4（CYP3A4）-Metabolized and Cytochrome P450 Isoenzyme 3A4（CYP3A4）-Metabolized Statins on Clopidogrel Resistance in Patients With Cerebral Infarction,UNKNOWN,PHASE4,"Cerebral Infarction; Clopidogrel,Poor Metabolism of (Disorder)",2015-03-17 00:00:00+00:00,53,Cerebral Infarction,Cerebral Infarction,@DISEASE_Cerebral_Infarction,exact,True,,0,5,0
Atorvastatin,NCT00332761,Caduet in an Untreated Subject Population,COMPLETED,PHASE4,Hypertension; Dyslipidemia,2006-06-01 00:00:00+00:00,55,Hypertension,Hypertension,@DISEASE_Hypertension,exact,True,,0,5,0
Atorvastatin,NCT00332761,Caduet in an Untreated Subject Population,COMPLETED,PHASE4,Hypertension; Dyslipidemia,2006-06-01 00:00:00+00:00,55,Dyslipidemia,Dyslipidemias,@DISEASE_Dyslipidemias,token_set_exact,True,,0,1,0
Atorvastatin,NCT00651404,Ezetimibe Plus Atorvastatin Versus Atorvastatin Alone in Subjects With Primary Hypercholesterolemia (Study P03406),COMPLETED,PHASE3,Hypercholesterolemia; Atherosclerosis,2008-03-31 00:00:00+00:00,57,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT03318484,Sonodynamic Therapy on Patients With Femoropopliteal PAD and Claudication,WITHDRAWN,PHASE1; PHASE2,Peripheral Arterial Disease; Atherosclerosis; Cardiovascular Diseases,2017-10-12 00:00:00+00:00,58,Peripheral Arterial Disease,Peripheral Arterial Disease,@DISEASE_Peripheral_Arterial_Disease,exact,True,,0,3,0
Atorvastatin,NCT03318484,Sonodynamic Therapy on Patients With Femoropopliteal PAD and Claudication,WITHDRAWN,PHASE1; PHASE2,Peripheral Arterial Disease; Atherosclerosis; Cardiovascular Diseases,2017-10-12 00:00:00+00:00,58,Cardiovascular Diseases,Cardiovascular Diseases,@DISEASE_Cardiovascular_Diseases,exact,True,,0,1,0
Atorvastatin,NCT00570752,Efficacy Study of p38 Kinase Inhibitor to Treat Patients With Atherosclerosis,COMPLETED,PHASE2,Vascular Diseases,2007-12-10 00:00:00+00:00,61,Vascular Diseases,Vascular Diseases,@DISEASE_Vascular_Diseases,exact,True,,0,5,0
Atorvastatin,NCT02776956,Study on Left Atrial Function of Atrial Fibrillation After Radiofrequency Ablation With Statin Therapy,COMPLETED,,Atrial Fibrillation,2016-04-29 00:00:00+00:00,62,Atrial Fibrillation,Atrial Fibrillation,@DISEASE_Atrial_Fibrillation,exact,True,,0,5,0
Atorvastatin,NCT00437892,Statins to Reduce D-dimer Levels in Patients With Venous Thrombosis,TERMINATED,PHASE2,Venous Thromboembolism; Hypercholesterolemia,2007-02-20 00:00:00+00:00,64,Venous Thromboembolism,Venous Thromboembolism,@DISEASE_Venous_Thromboembolism,exact,True,,0,1,0
Atorvastatin,NCT00437892,Statins to Reduce D-dimer Levels in Patients With Venous Thrombosis,TERMINATED,PHASE2,Venous Thromboembolism; Hypercholesterolemia,2007-02-20 00:00:00+00:00,64,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT01322711,"Atorvastatin, Aspirin, Oxidative Stress, Coagulation and Platelet Activation Indexes",UNKNOWN,PHASE4,Type 2 Diabetes Mellitus; Hypercholesterolemia,2011-03-24 00:00:00+00:00,65,Type 2 Diabetes Mellitus,Diabetes Mellitus Type 2,@DISEASE_Diabetes_Mellitus_Type_2,token_set_exact,True,,0,4,0
Atorvastatin,NCT01322711,"Atorvastatin, Aspirin, Oxidative Stress, Coagulation and Platelet Activation Indexes",UNKNOWN,PHASE4,Type 2 Diabetes Mellitus; Hypercholesterolemia,2011-03-24 00:00:00+00:00,65,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT01648829,PharmacOdynamic compaRison of piTavastatin Versus atOrvastatin on Platelet Reactivity,UNKNOWN,PHASE4,Coronary Artery Disease,2012-07-19 00:00:00+00:00,66,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,True,,0,4,0
Atorvastatin,NCT01200056,Virtual Histology Findings and Effects of Varying Doses of Atorvastatin Treatment,COMPLETED,PHASE4,"Coronary Disease; Ultrasonography, Interventional; Hydroxymethylglutaryl-CoA Reductase Inhibitors",2010-09-09 00:00:00+00:00,67,Coronary Disease,Coronary Disease,@DISEASE_Coronary_Disease,exact,True,,0,5,0
