drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,match_tier,tie_top_score,extra_tokens,missing_tokens,n_candidates_returned,shared_tokens_best,flag_too_specific,accept_any_candidate,accept_min_overlap
Citalopram,NCT04069819,The Phosphodiesterase-3 Inhibitor Cilostazol as an Adjunctive to Antidepressants in Patients With Major Depressive Disorder.,COMPLETED,,Major Depressive Disorder,2019-08-25 00:00:00+00:00,10764,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT02579343,Adjunctive Treatment of Major Depression Utilizing Auricular Acupuncture,COMPLETED,,Major Depressive Disorder,2015-10-05 00:00:00+00:00,10765,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT03122158,Escitalopram in the Treatment of Adolescents With Major Depressive Disorder or Anxiety Disorders,UNKNOWN,PHASE4,Major Depressive Disorder; Anxiety Disorders,2017-04-08 00:00:00+00:00,10766,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT03122158,Escitalopram in the Treatment of Adolescents With Major Depressive Disorder or Anxiety Disorders,UNKNOWN,PHASE4,Major Depressive Disorder; Anxiety Disorders,2017-04-08 00:00:00+00:00,10766,Anxiety Disorders,Anxiety Disorders,@DISEASE_Anxiety_Disorders,,False,0,0,2,0,False,True,False
Citalopram,NCT03538691,"A Trial to Evaluate the Efficacy, Safety & Tolerability of Brexpiprazole in the Maintenance Treatment of Adults With Major Depressive Disorder",COMPLETED,PHASE3,Major Depressive Disorder,2018-04-13 00:00:00+00:00,10767,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT02332291,Connectivity Affecting the Antidepressant REsponse Study,COMPLETED,PHASE4,Major Depressive Disorder,2014-12-30 00:00:00+00:00,10768,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT00774813,Nexalin Therapy for the Treatment of Depressive Symptoms,COMPLETED,PHASE2,Depression,2008-07-03 00:00:00+00:00,10769,Depression,,,,False,0,0,10,0,False,False,False
Citalopram,NCT00643162,Combination Lexapro and Massage for Treatment of Depression in Older Adults,TERMINATED,,Depression,2008-03-20 00:00:00+00:00,10770,Depression,,,,False,0,0,10,0,False,False,False
Citalopram,NCT00260624,Escitalopram Treatment of Patients With Agitated Dementia,COMPLETED,PHASE4,Alzheimer's Disease; Psychomotor Agitation,2005-11-29 00:00:00+00:00,10771,Alzheimer's Disease,,,,False,0,0,0,0,False,False,False
Citalopram,NCT00260624,Escitalopram Treatment of Patients With Agitated Dementia,COMPLETED,PHASE4,Alzheimer's Disease; Psychomotor Agitation,2005-11-29 00:00:00+00:00,10771,Psychomotor Agitation,Psychomotor Agitation,@DISEASE_Psychomotor_Agitation,,False,0,0,1,0,False,True,False
Citalopram,NCT01219686,EScitalopram PIndolol ONset of Action,TERMINATED,PHASE2; PHASE3,Unipolar Depression,2010-10-07 00:00:00+00:00,10772,Unipolar Depression,,,,False,0,0,3,0,False,False,False
Citalopram,NCT04430556,Brain Hippocampal Volume Relationship With Anxious Symptoms in Major Depressive Patients,UNKNOWN,,Major Depressive Disorder; Anxiety Disorders,2020-06-10 00:00:00+00:00,10773,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT04430556,Brain Hippocampal Volume Relationship With Anxious Symptoms in Major Depressive Patients,UNKNOWN,,Major Depressive Disorder; Anxiety Disorders,2020-06-10 00:00:00+00:00,10773,Anxiety Disorders,Anxiety Disorders,@DISEASE_Anxiety_Disorders,,False,0,0,2,0,False,True,False
Citalopram,NCT02865642,Cortical Ischemic Stroke and Serotonin,UNKNOWN,PHASE2,Stroke,2016-08-04 00:00:00+00:00,10774,Stroke,Stroke,@DISEASE_Stroke,,False,0,0,0,0,False,True,False
Citalopram,NCT00456937,Escitalopram in Schizophrenia in OCD- Open Label Study,COMPLETED,PHASE4,Schizophrenia,2006-12-03 00:00:00+00:00,10775,Schizophrenia,Schizophrenia,@DISEASE_Schizophrenia,,False,0,0,0,0,False,True,False
Citalopram,NCT02386475,Effect of Serotonin and Levodopa in Ischemic Stroke,COMPLETED,PHASE4,Stroke,2015-03-06 00:00:00+00:00,10776,Stroke,Stroke,@DISEASE_Stroke,,False,0,0,0,0,False,True,False
Citalopram,NCT03068429,Fear Conditioned Response in Healthy Subjects and in OCD Patients Pre and Post Treatment With Sertraline.,COMPLETED,PHASE4,Obsessive-Compulsive Disorder,2017-02-22 00:00:00+00:00,10777,Obsessive-Compulsive Disorder,Obsessive-Compulsive Disorder,@DISEASE_Obsessive_Compulsive_Disorder,,False,0,0,2,0,False,True,False
Citalopram,NCT03558256,The Study of Mindfulness-based Cognitive Therapy and Major Depressive Disorder,UNKNOWN,,Major Depressive Disorder,2018-05-30 00:00:00+00:00,10778,Major Depressive Disorder,Depressive Disorder Major,@DISEASE_Depressive_Disorder_Major,,False,0,0,5,0,False,True,False
Citalopram,NCT03642405,Drug-induced Repolarization ECG Changes,UNKNOWN,,"Long QT Syndrome; ADHD; Depression; Death; Death, Sudden, Cardiac; Romano-Ward Syndrome; Pathologic Processes; Heart Arrest; Electrocardiogram: Electrical Alternans; Heart Diseases; Cardiovascular Diseases; Death, Sudden; Arrhythmias, Cardiac; Heart Defects, Congenital; Cardiovascular Abnormalities; Congenital Abnormalities; Genetic Disease; Genetic Syndrome; Qt Interval, Variation in; Psychiatric Disorder",2018-08-16 00:00:00+00:00,10779,Long QT Syndrome,Long QT Syndrome,@DISEASE_Long_QT_Syndrome,,False,0,0,10,0,False,True,False
