drug,nct_id,title,status,phase,disease,first_submit
Ibuprofen,NCT06126029,Effect of Metformin as Add-on Therapy to Ibuprofen on Disease Activity in Knee Osteoarthritis Patients.,RECRUITING,PHASE2,Osteoarthritis Knee,2023-11-06 00:00:00+00:00
Ibuprofen,NCT05126264,Efficacy of Chronoterapy in Oral Surgery,COMPLETED,,Tooth Impacted; Trismus; Pain,2021-10-14 00:00:00+00:00
Ibuprofen,NCT02269748,Morbidity and Coverage Outcome With Connective Tissue Graft Used With Coronally Advanced Flap and Tunneling Technique,COMPLETED,,Gingival Recession,2014-10-15 00:00:00+00:00
Ibuprofen,NCT03953729,Effectiveness of Pre-emptive Analgesia in Children With Molar-incisor Hypomineralization (MIH),UNKNOWN,EARLY_PHASE1,Pain; Anxiety,2019-04-25 00:00:00+00:00
Ibuprofen,NCT02422966,Paracetamol in Patent Ductus Arteriosus,COMPLETED,PHASE2,Ductus Arteriosus Patent,2015-04-09 00:00:00+00:00
Ibuprofen,NCT01530217,Assessing of Tooth Sensitivity Using Ibuprofen Before in Office-tooth Bleaching,COMPLETED,,Inflammation; Pulpitis,2011-12-13 00:00:00+00:00
Ibuprofen,NCT02006576,Prostaglandin Inhibition for Emphysema,COMPLETED,PHASE2,Emphysema,2013-12-04 00:00:00+00:00
Ibuprofen,NCT03170713,Impact of Preemptive Intravenous Ibuprofen on Postoperative Edema and Trismus in the Third Molar Teeth,UNKNOWN,,Trismus; Edema,2017-05-20 00:00:00+00:00
Ibuprofen,NCT02666846,"Assess the Efficacy and Safety in Volunteers of DCF100, TIB200 and SPR300 vs. Placebo and Control(s) in a UV Pain Model",COMPLETED,PHASE1,Pain,2016-01-20 00:00:00+00:00
Ibuprofen,NCT04842669,Effects of Low Level Laser Therapy On Exercise Induced Muscle Damage in Wrist Flexors Of Untrained Young Adults,COMPLETED,,Wrist Injuries,2021-04-10 00:00:00+00:00
Ibuprofen,NCT06478069,Postural Assessment of Stroke Patients by Pose Estimation and Effects of Dynamic Core Postural Chain Stabilization,ACTIVE_NOT_RECRUITING,,Stroke,2024-06-10 00:00:00+00:00
Ibuprofen,NCT05834569,Impact of Maxigesic on Delirium After Minimally Invasive Lung Surgery in Elderly Patients,TERMINATED,PHASE4,Delirium; Lung Neoplasms,2023-03-07 00:00:00+00:00
Ibuprofen,NCT06415331,Effectiveness of Conventional Therapy Plus Pulsed-Radiofrequency for Herniated Nucleus Pulposus,COMPLETED,,Pain,2024-05-10 00:00:00+00:00
Ibuprofen,NCT00261560,A Safety and Effectiveness Study of Acetaminophen Extended Release (3900 mg/Day) and Ibuprofen (1200 mg/Day) in the Treatment of Pain Associated With Ankle Sprains.,COMPLETED,PHASE4,Sprains and Strains; Pain,2005-12-02 00:00:00+00:00
Ibuprofen,NCT01442428,Paradoxical Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) Treatment Trial,WITHDRAWN,PHASE2; PHASE3,Immune Reconstitution Inflammatory Syndrome; Tuberculosis,2011-08-30 00:00:00+00:00
Ibuprofen,NCT00707057,Ibuprofen Extended-Release Dental Pain Study,COMPLETED,PHASE3,Pain,2008-06-26 00:00:00+00:00
Ibuprofen,NCT00642330,Comparative Study of Efficacy and Safety of Oral Ibuprofen and Intravenous Ibuprofen in Closure of Patent Ductus Arteriosus in Very Low Birth Weight Infants,COMPLETED,PHASE4,Ductus Arteriosus Patent,2008-03-17 00:00:00+00:00
Ibuprofen,NCT02781909,Potential Efficacy and Safety of Using Adjunctive Ibuprofen for XDR-TB Tuberculosis,COMPLETED,PHASE2,Tuberculosis,2016-05-02 00:00:00+00:00
Ibuprofen,NCT00921505,"Effect of Ibuprofen, Paracetamol and Their Combination on Radical Oxygen Species (ROS) Production",COMPLETED,PHASE4,Pain,2009-06-15 00:00:00+00:00
Ibuprofen,NCT03111186,Ibuprofen Plus Acetaminophen Versus Oxycodone Alone After Hand Surgery,COMPLETED,PHASE2,Carpal Tunnel Syndrome; Dupuytren Contracture; Ganglion Cysts; De Quervain Disease,2017-04-06 00:00:00+00:00
Ibuprofen,NCT05283434,Arnica and the Management of Pain in Acute Musculoskeletal Extremity Injuries,UNKNOWN,PHASE2; PHASE3,Acute Pain,2022-03-07 00:00:00+00:00
Ibuprofen,NCT00600405,The Efficacy of Tamsulosin in the Treatment of Ureteral Stones in Emergency Department Patients,COMPLETED,,Nephrolithiasis; Ureteral Calculi,2008-01-14 00:00:00+00:00
Ibuprofen,NCT01172522,Topical Treatment of Under Eye Dark Circles and Swelling,COMPLETED,PHASE2,Edema,2010-07-28 00:00:00+00:00
Ibuprofen,NCT04541147,Opioid & Steroid Use Following Tonsillectomy in Pediatric Patients,TERMINATED,PHASE4,Pain Postoperative,2020-09-01 00:00:00+00:00
Ibuprofen,NCT01266161,Multiple Dose Dental Pain Study Of Ibuprofen Extended Release,COMPLETED,PHASE3,Pain,2010-12-22 00:00:00+00:00
Ibuprofen,NCT02002741,Adding Paracetamol to Ibuprofen for Treatment of Patent Ductus Arteriosus in Preterm Infants,COMPLETED,PHASE2; PHASE3,Ductus Arteriosus Patent,2013-11-24 00:00:00+00:00
Ibuprofen,NCT01716052,Women's Mammography Study To Improve Comfort During Mammography,TERMINATED,,Pain,2012-10-18 00:00:00+00:00
Ibuprofen,NCT00006299,Celebrex for Pain Relief After Oral Surgery,COMPLETED,PHASE2,Facial Pain,2000-09-27 00:00:00+00:00
Ibuprofen,NCT00646906,Mechanisms of Action of Acetaminophen,COMPLETED,,Myocardial Infarction; Arthritis,2008-03-26 00:00:00+00:00
Ibuprofen,NCT01182532,"A Clinical Trial to Evaluate the Effectiveness and Safety of Chinese Medicine in the Treatment of Mild Type of Hand, Foot, and Mouth Disease",COMPLETED,,Hand Foot and Mouth Disease,2010-08-16 00:00:00+00:00
Ibuprofen,NCT04973748,Conditioned Open-label Placebo (COLP) for Peri-operative Pain Management in Patients With Head and Neck Cancer,COMPLETED,,Pain Postoperative,2021-07-09 00:00:00+00:00
Ibuprofen,NCT01435577,Intravenous Tapentadol in Post-Bunionectomy Pain,COMPLETED,PHASE2,Bunion; Pain,2011-09-15 00:00:00+00:00
Ibuprofen,NCT04296422,Different Does of Acupuncture on Premenstrual Syndrome Efficacy Analysis,UNKNOWN,,Premenstrual Syndrome,2020-03-03 00:00:00+00:00
Ibuprofen,NCT01971853,Does Preventive Analgesia Improve the Outcome of Demerol-Vistaril Procedural Sedations in Pediatric Dentistry,TERMINATED,,Pain,2013-10-18 00:00:00+00:00
Ibuprofen,NCT01794923,Topical Ibuprofen for Delayed Onset Mulscle Soreness,COMPLETED,PHASE3,Pain,2013-02-15 00:00:00+00:00
Ibuprofen,NCT02327338,Use of ThermaCare Heat Wraps and Ibuprofen as an Adjunct to Physical Therapy for Neck Pain,COMPLETED,PHASE4,Pain,2014-12-11 00:00:00+00:00
Ibuprofen,NCT06891976,Effect of Acupressure Versus Kinesotape on Low Back Pain in Women Who Use Intrauterine Device,NOT_YET_RECRUITING,,Low Back Pain,2025-03-18 00:00:00+00:00
Ibuprofen,NCT05232084,Different Volumes of Erector Spinae Plane Block for Breast Surgery,COMPLETED,,Breast Neoplasms; Breast Diseases,2022-01-14 00:00:00+00:00
Ibuprofen,NCT03610217,Pragmatic Clinical Trials in Scleroderma,UNKNOWN,,Scleroderma Systemic,2018-07-25 00:00:00+00:00
Ibuprofen,NCT00346216,Prospective Randomized Evaluation Of Celecoxib Integrated Safety Vs Ibuprofen Or Naproxen,COMPLETED,PHASE4,Arthritis Rheumatoid,2006-06-28 00:00:00+00:00
Ibuprofen,NCT04869046,Levobupivacaine and Postoperative Pain Relief,COMPLETED,PHASE4,Pain Postoperative,2020-02-03 00:00:00+00:00
Ibuprofen,NCT01530880,Aggressive Fever Control With Intravenous Ibuprofen After Non-traumatic Brain Hemorrhage,TERMINATED,PHASE4,Fever,2012-02-08 00:00:00+00:00
Ibuprofen,NCT02891174,The Effect of Ibuprofen on Post-partum Blood Pressure in Women With Hypertensive Disorders of Pregnancy,COMPLETED,PHASE4,Hypertension Pregnancy-Induced; Pre-Eclampsia,2016-08-26 00:00:00+00:00
Ibuprofen,NCT04423107,Assessment of Postop Hypospadias Pain,UNKNOWN,PHASE3,Hypospadias,2020-05-27 00:00:00+00:00
Ibuprofen,NCT05674721,A Bioequivalence Study of Advil PM Liqui-Gels Minis (Ibuprofen/Diphenhydramine Hydrochloride 200 mg/25 mg) Compared to the Current Marketed Advil PM Liqui-Gels (Ibuprofen/Diphenhydramine Hydrochloride 200 mg/25 mg) in Healthy Adult Subjects Under Fasted Conditions,COMPLETED,PHASE1,Pain,2022-12-16 00:00:00+00:00
Ibuprofen,NCT02335294,A Study of TRV130 for the Treatment of Pain After Abdominoplasty,COMPLETED,PHASE2,Pain,2015-01-07 00:00:00+00:00
Ibuprofen,NCT03146689,Ibuprofen Gel or Capsaicin Cream for my Painful Knee Osteoarthritis?,COMPLETED,,Osteoarthritis Knee,2017-05-03 00:00:00+00:00
Ibuprofen,NCT02668822,Efficacy and Safety of Etonogestrel + 17β-Estradiol Vaginal Ring (MK-8342B) in the Treatment of Women With Primary Dysmenorrhea (MK-8342B-060),TERMINATED,PHASE3,Dysmenorrhea,2016-01-26 00:00:00+00:00
Ibuprofen,NCT00219895,Assessment of Inflammatory Mediators (AIM),COMPLETED,,Cystic Fibrosis,2005-09-16 00:00:00+00:00
Ibuprofen,NCT06061575,Comparison of the Efficacy of Paracetamol and Ibuprofen in the Management of Fever in Sepsis Patients,COMPLETED,PHASE4,Sepsis; Fever,2023-09-25 00:00:00+00:00
Ibuprofen,NCT00389272,Adding a Second Drug for Febrile Children Treated With Acetaminophen,UNKNOWN,,Fever,2006-10-17 00:00:00+00:00
Ibuprofen,NCT01330459,Hydrocodone For Pain Control in First Trimester Surgical Abortion,COMPLETED,PHASE4,Pain,2011-04-01 00:00:00+00:00
Ibuprofen,NCT02985177,A RCT of a Combination of Analgesics for Pain Management in Children With a Suspected Fracture,WITHDRAWN,PHASE4,Acute Pain,2016-10-25 00:00:00+00:00
Ibuprofen,NCT06300372,Modified Thoracoabdominal Nerve Plane Block In Living Liver Donors,COMPLETED,,Liver Failure,2024-03-03 00:00:00+00:00
Ibuprofen,NCT03792295,Multimodal Pain Therapy After Hernia Repair,WITHDRAWN,PHASE2,Hernia Abdominal; Pain,2018-12-27 00:00:00+00:00
Ibuprofen,NCT04102566,Optimizing Pain Control in Transurethral Resection of the Prostate,RECRUITING,PHASE4,Pain,2019-09-23 00:00:00+00:00
Ibuprofen,NCT02863575,A Dental Pain Study Comparing The Analgesic Efficacy Of Ibuprofen/Caffeine,COMPLETED,PHASE3,Pain,2016-08-08 00:00:00+00:00
Ibuprofen,NCT00997074,Efficacy Study of Prophylactic Ibuprofen Versus Placebo on Pain Relief and Success Rates of Medical Abortion,COMPLETED,PHASE3,Pain,2009-10-15 00:00:00+00:00
Ibuprofen,NCT02054676,Validation of the Jawbone Anatomy Classification in Endosseous Dental Implant Treatment,UNKNOWN,,Jaw Edentulous Partially,2014-02-02 00:00:00+00:00
Ibuprofen,NCT03918135,Comparison of the Efficacy of Intravenous Paracetamol and Ibuprofen in the Treatment of Fever Due to Upper Respiratory Tract Infection,COMPLETED,PHASE4,Fever,2019-04-15 00:00:00+00:00
Ibuprofen,NCT02205489,Management Of The Infusion-Associated Reactions In RRMS Patients Treated With LEMTRADA,COMPLETED,PHASE4,Multiple Sclerosis Relapsing-Remitting,2014-07-29 00:00:00+00:00
Ibuprofen,NCT02902913,Impact of Extra Virgin Olive Oil Oleocanthal Content on Platelet Reactivity,COMPLETED,,Cardiovascular Diseases,2016-09-07 00:00:00+00:00
Ibuprofen,NCT02678897,Pain and Medical Abortion Among Teenaged Women Compared to Adult Women,COMPLETED,PHASE4,Pain,2015-12-16 00:00:00+00:00
Ibuprofen,NCT02609009,Back Pain and Spinal Manipulation in Adolescent Scoliosis,COMPLETED,,Back Pain; Scoliosis,2015-11-17 00:00:00+00:00
Ibuprofen,NCT02616458,The Impact of Ear Pain Anticipatory Guidance Counseling on Otitis Related Visits in a Low Income Population,COMPLETED,,Otitis Media,2015-11-11 00:00:00+00:00
Ibuprofen,NCT03063658,Comparison of the Effectiveness of Preemptive Paracetamol and Ibuprofen in Acute Postoperative Pain,UNKNOWN,PHASE4,Acute Pain; Pain Postoperative,2017-02-21 00:00:00+00:00
Ibuprofen,NCT02110719,Decreasing Narcotics in Advanced Pelvic Surgery,COMPLETED,PHASE4,Pain; Constipation; Nausea,2014-04-07 00:00:00+00:00
Ibuprofen,NCT05239767,A Randomized Trial of NSAID Dosing Strategies,COMPLETED,PHASE4,Musculoskeletal Pain; Acute Pain,2022-02-04 00:00:00+00:00
Ibuprofen,NCT05819619,Prophylactic Analgesic and Antiemetic Regimen for Medical Abortion < 70 Days,TERMINATED,EARLY_PHASE1,Nausea; Pain,2023-03-15 00:00:00+00:00
Ibuprofen,NCT03441269,Adult Oral Ibuprofen Study for ED Pain Patients,COMPLETED,PHASE4,Acute Pain,2018-02-15 00:00:00+00:00
Ibuprofen,NCT00223691,Treatment of Orthostatic Hypotension in Autonomic Failure,COMPLETED,PHASE1,Hypotension Orthostatic,2005-09-14 00:00:00+00:00
