disease_a,disease_b,shared_drugs
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::diabetes,12
CT_UNMAPPED::autism,CT_UNMAPPED::depression,12
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::psychosomatic disorders,12
CT_UNMAPPED::cognition,CT_UNMAPPED::depression,12
CT_UNMAPPED::diabetes,CT_UNMAPPED::pregnancy,12
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::major depression,12
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::psychosomatic disorders,12
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::treatment resistant depression,12
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::drug drug interaction,12
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::covid,12
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::covid19,12
CT_UNMAPPED::covid,CT_UNMAPPED::type 2 diabetes,12
CT_UNMAPPED::impaired glucose tolerance,CT_UNMAPPED::type 2 diabetes,12
CT_UNMAPPED::blood pressure,CT_UNMAPPED::covid,12
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::heart failure with preserved ejection fraction,12
CT_UNMAPPED::diabetes,CT_UNMAPPED::preeclampsia,12
CT_UNMAPPED::aging,CT_UNMAPPED::cancer,12
CT_UNMAPPED::aging,CT_UNMAPPED::mild cognitive impairment,12
CT_UNMAPPED::breast cancer,CT_UNMAPPED::hiv 1 infection,12
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::cognitive impairment,12
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::mild cognitive impairment,12
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::mild cognitive impairment,12
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::prostate cancer,12
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::menopause,12
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::mild cognitive impairment,12
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::lung cancer,12
CT_UNMAPPED::bladder cancer,CT_UNMAPPED::breast cancer,12
CT_UNMAPPED::blood pressure,CT_UNMAPPED::breast cancer,12
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::pancreatic cancer,12
CT_UNMAPPED::insomnia,CT_UNMAPPED::pregnancy,12
CT_UNMAPPED::pregnancy,CT_UNMAPPED::type 2 diabetes,12
CT_UNMAPPED::diabetes,CT_UNMAPPED::heart failure with reduced ejection fraction,12
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::depression,12
CT_UNMAPPED::pancreatic cancer,CT_UNMAPPED::prostate cancer,12
CT_UNMAPPED::diabetes,CT_UNMAPPED::diabetes mellitus type ii,12
CT_UNMAPPED::cancer,CT_UNMAPPED::posttraumatic stress disorder,12
CT_UNMAPPED::diabetes,CT_UNMAPPED::type2 diabetes,12
CT_UNMAPPED::bariatric surgery candidate,CT_UNMAPPED::breast cancer,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::children,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::narcotic use,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::rotator cuff tear,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::total knee arthroplasty,11
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::total knee arthroplasty,11
CT_UNMAPPED::covid 19 pneumonia,CT_UNMAPPED::covid19,11
CT_UNMAPPED::narcotic use,CT_UNMAPPED::opioid use,11
CT_UNMAPPED::narcotic use,CT_UNMAPPED::pain management,11
CT_UNMAPPED::opioid use,CT_UNMAPPED::total knee arthroplasty,11
CT_UNMAPPED::pain management,CT_UNMAPPED::total knee arthroplasty,11
CT_UNMAPPED::rotator cuff tear,CT_UNMAPPED::surgery,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::colon cancer,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::sleep,11
CT_UNMAPPED::migraine,CT_UNMAPPED::opioid use,11
CT_UNMAPPED::pregnancy related,CT_UNMAPPED::prostate cancer,11
CT_UNMAPPED::pregnancy related,CT_UNMAPPED::surgery,11
CT_UNMAPPED::surgery,CT_UNMAPPED::trauma,11
CT_UNMAPPED::chronic myeloproliferative disorders,CT_UNMAPPED::multiple myeloma and plasma cell neoplasm,11
CT_UNMAPPED::complications,CT_UNMAPPED::end stage renal disease,11
CT_UNMAPPED::ovarian cancer,CT_UNMAPPED::prostate cancer,11
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::congestive heart failure,11
CT_UNMAPPED::depression,CT_UNMAPPED::end stage renal disease,11
CT_UNMAPPED::cancer,CT_UNMAPPED::chronic kidney disease,11
CT_UNMAPPED::cancer,CT_UNMAPPED::cirrhosis,11
CT_UNMAPPED::cancer,CT_UNMAPPED::schizoaffective disorder,11
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::prediabetes,11
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::cirrhosis,11
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::congestive heart failure,11
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::cirrhosis,11
CT_UNMAPPED::migraine,CT_UNMAPPED::psychosomatic disorders,11
CT_UNMAPPED::brain tumors,CT_UNMAPPED::mild cognitive impairment,11
CT_UNMAPPED::cancer,CT_UNMAPPED::psychosomatic disorders,11
CT_UNMAPPED::depression,CT_UNMAPPED::unipolar depression,11
CT_UNMAPPED::insomnia,CT_UNMAPPED::treatment resistant depression,11
CT_UNMAPPED::migraine,CT_UNMAPPED::neuropathy,11
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::heart failure with preserved ejection fraction,11
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::depression,CT_UNMAPPED::diabetes,11
CT_UNMAPPED::diabetes,CT_UNMAPPED::type ii diabetes mellitus,11
CT_UNMAPPED::drug drug interaction,CT_UNMAPPED::hiv,11
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::gastric cancer,11
CT_UNMAPPED::cancer,CT_UNMAPPED::sickle cell disease,11
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::mild cognitive impairment,11
CT_UNMAPPED::complications,CT_UNMAPPED::covid19,11
CT_UNMAPPED::complications,CT_UNMAPPED::diabetes,11
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::cocaine dependence,11
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::major depression,11
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::treatment resistant depression,11
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::schizoaffective disorder,11
CT_UNMAPPED::cocaine dependence,CT_UNMAPPED::psychosomatic disorders,11
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::pregnancy,11
CT_UNMAPPED::pregnancy,CT_UNMAPPED::psychosomatic disorders,11
CT_UNMAPPED::pregnancy,CT_UNMAPPED::ptsd,11
CT_UNMAPPED::pregnancy,CT_UNMAPPED::treatment resistant depression,11
CT_UNMAPPED::psychosomatic disorders,CT_UNMAPPED::ptsd,11
CT_UNMAPPED::psychosomatic disorders,CT_UNMAPPED::schizoaffective disorder,11
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::endothelial dysfunction,11
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::hemodialysis,11
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::drug drug interaction,11
