drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT00136981,Carotid B-Mode Ultrasound Study to Compare Anti-Atherosclerotic Effect of Torcetrpib/Atorvastatin to Atorvastatin Alone.,COMPLETED,PHASE3,"Hypercholesterolemia, Familial; Hyperlipidemia",2005-08-25
Atorvastatin,NCT00202904,Effectiveness and Safety of Ezetimibe Added to Atorvastatin in Patients With High Cholesterol and Coronary Heart Disease (Study P03740),COMPLETED,PHASE4,Hypercholesterolemia; Coronary Heart Disease,2005-09-13
Atorvastatin,NCT03951207,Rosuvastatin/Amlodipine vs Atorvastatin/Amlodipine in Hypertension Patient With Dyslipidemia,COMPLETED,PHASE4,Dyslipidemias; Hypertension,2019-05-13
Atorvastatin,NCT01812707,Efficacy and Safety Evaluation of Alirocumab (SAR236553/REGN727) in Patients With Primary Hypercholesterolemia on Stable Atorvastatin Therapy in Japan,COMPLETED,PHASE2,Hypercholesterolemia,2013-03-14
Atorvastatin,NCT00303277,Do HMG CoA Reductase Inhibitors Affect Abeta Levels?,COMPLETED,PHASE4,Alzheimer's Disease; Aging,2006-03-14
Atorvastatin,NCT00701883,Safety and Benefit of MBX-8025 With and Without Commonly Used Statins in Moderately Overweight Patients With High Cholesterol,COMPLETED,PHASE2,Hyperlipidemia,2008-06-17
Atorvastatin,NCT07148037,Effect of SLC01B1 (rs4149956) Polymorphism on the Efficacy and Tolerability of Atorvastatin in Pakistani Population,COMPLETED,,Hyperlipidemias,2025-08-22
Atorvastatin,NCT00139061,Assess HDL-C Increase And Non-HDL Lowering Effect Of Torcetrapib/Atorvastatin Vs. Fenofibrate,COMPLETED,PHASE3,Hyperlipidemia,2005-08-26
Atorvastatin,NCT02600520,Comparison of Rosuvastatin With Atorvastatin in Chronic Periodontitis,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2015-11-06
Atorvastatin,NCT06785974,Statins to Prevent Immune Checkpoint Inhibitor-induced PRogression of AtherosLerosis,NOT_YET_RECRUITING,PHASE4,Atherosclerosis; Melanoma; Immune-related Adverse Event,2024-12-16
Atorvastatin,NCT02470455,Effect of Atorvastatin on Glycemic Control in Prediabetic Patients,COMPLETED,,Prediabetic State,2015-06-04
Atorvastatin,NCT00520585,Study of Influence of Atorvastatin on the Repolarisation Phase of Cardiomyocytes,UNKNOWN,,Heterogeneity of Cardiomyocytes Repolarisation; Autonomic Changes of Cardiomyocytes Repolarisation,2007-08-22
Atorvastatin,NCT01186289,Statin Therapy To Limit Cognitive Dysfunction After Cardiac Surgery,WITHDRAWN,,Neurocognitive Dysfunction,2010-08-19
Atorvastatin,NCT00914017,Statins and Breast Cancer Biomarkers,UNKNOWN,PHASE2,Breast Cancer,2009-06-02
