drug_name,drug_id,disease_name,disease_id,total_disease_entities
Atorvastatin,@CHEMICAL_Atorvastatin,Epileptic Syndromes,@DISEASE_Epileptic_Syndromes,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Insulin Resistance,@DISEASE_Insulin_Resistance,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cerebrovascular Disorders,@DISEASE_Cerebrovascular_Disorders,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Drug Related Side Effects and Adverse Reactions,@DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hematoma,@DISEASE_Hematoma,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertrophy,@DISEASE_Hypertrophy,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Arthritis Rheumatoid,@DISEASE_Arthritis_Rheumatoid,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Extravasation of Diagnostic and Therapeutic Materials,@DISEASE_Extravasation_of_Diagnostic_and_Therapeutic_Materials,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Multiple Sclerosis,@DISEASE_Multiple_Sclerosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Nerve Degeneration,@DISEASE_Nerve_Degeneration,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinoma Hepatocellular,@DISEASE_Carcinoma_Hepatocellular,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hypoxia,@DISEASE_Hypoxia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Sepsis,@DISEASE_Sepsis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Thrombosis,@DISEASE_Thrombosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Angina Pectoris,@DISEASE_Angina_Pectoris,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Injuries Traumatic,@DISEASE_Brain_Injuries_Traumatic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomegaly,@DISEASE_Cardiomegaly,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Colorectal Neoplasms,@DISEASE_Colorectal_Neoplasms,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Lupus Erythematosus Systemic,@DISEASE_Lupus_Erythematosus_Systemic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetes Mellitus Type 1,@DISEASE_Diabetes_Mellitus_Type_1,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperplasia,@DISEASE_Hyperplasia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Infections,@DISEASE_Infections,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Neuroinflammatory Diseases,@DISEASE_Neuroinflammatory_Diseases,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pneumonia Lipid,@DISEASE_Pneumonia_Lipid,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Fatty Liver Alcoholic,@DISEASE_Fatty_Liver_Alcoholic,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Polycystic Ovary Syndrome,@DISEASE_Polycystic_Ovary_Syndrome,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Arterial Hypertension,@DISEASE_Pulmonary_Arterial_Hypertension,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Acrocephalosyndactylia,@DISEASE_Acrocephalosyndactylia,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Chest Pain,@DISEASE_Chest_Pain,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Liver Cirrhosis,@DISEASE_Liver_Cirrhosis,1026
Atorvastatin,@CHEMICAL_Atorvastatin,Lung Neoplasms,@DISEASE_Lung_Neoplasms,1026
