pmid,n_pairs,n_drugs,n_diseases,has_one_drug_multi_diseases,has_one_disease_multi_drugs
9403876,1,1,1,False,False
31380253,1,1,1,False,False
25523730,2,1,2,True,False
28716156,1,1,1,False,False
22529488,3,3,1,False,True
12581326,1,1,1,False,False
10849941,1,1,1,False,False
31695118,1,1,1,False,False
30713580,1,1,1,False,False
29686722,2,1,2,True,False
25028180,2,2,1,False,True
27943172,3,2,2,True,True
25845223,2,1,2,True,False
21269482,3,1,3,True,False
24742015,1,1,1,False,False
24223845,1,1,1,False,False
17299985,3,1,3,True,False
25404034,3,1,3,True,False
16303904,1,1,1,False,False
19772499,3,1,3,True,False
25149829,1,1,1,False,False
18395165,1,1,1,False,False
10353071,2,2,1,False,True
23226786,1,1,1,False,False
18196308,2,1,2,True,False
12888150,2,2,1,False,True
30073852,1,1,1,False,False
17520105,2,2,1,False,True
28162160,1,1,1,False,False
11383326,1,1,1,False,False
22529215,2,2,1,False,True
12360164,1,1,1,False,False
24678979,1,1,1,False,False
11214768,4,2,3,True,True
36444331,1,1,1,False,False
34394921,1,1,1,False,False
34238445,4,2,2,True,True
35500098,1,1,1,False,False
34156559,1,1,1,False,False
37852649,3,2,2,True,True
36552571,1,1,1,False,False
35198792,4,1,4,True,False
38109819,2,2,1,False,True
35968761,1,1,1,False,False
35002384,1,1,1,False,False
39324258,4,2,2,True,True
34080261,3,1,3,True,False
35343796,2,2,1,False,True
39201292,2,2,1,False,True
32468428,2,2,1,False,True
34951377,1,1,1,False,False
36877807,2,2,1,False,True
34290008,4,2,4,True,False
34482089,1,1,1,False,False
34872933,1,1,1,False,False
36708288,1,1,1,False,False
36774992,2,2,2,False,False
37924047,2,1,2,True,False
33530273,5,3,4,True,True
36410546,1,1,1,False,False
31248326,6,2,5,True,True
31451438,2,1,2,True,False
36348889,18,4,9,True,True
26848655,2,1,2,True,False
16218895,1,1,1,False,False
18466431,1,1,1,False,False
22304319,1,1,1,False,False
27504330,1,1,1,False,False
15255464,2,1,2,True,False
